"TIME","LATITUDE","LONGITUDE","TYPE","NR-TAC","NR-PCI","NR-CI","NR-ARFCN","CSI-RSRP","CSI-RSRQ","CSI-SINR","SS-RSRP","SS-RSRQ","SS-SINR","TAC","PCI","ECI","EARFCN","BAND_WIDTH","RSSI","RSRP","RSRQ","SINR","CQI","LAC","CI","RXLEV","ARFCN","BSIC","PSC","UARFCN","NID","BID","SID","CDMADBM","CDMAECIO","EVDODBM","EVDOECIO","EVDOSNR"
"20210917 10:34:13.424","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:14.178","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:14.494","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:15.342","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:15.418","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:16.448","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:17.417","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:17.542","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:18.443","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:18.627","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
